trial,arm,order_id,side,intended_size,filled_size,fill_rate,decision_price,avg_fill_price,implementation_shortfall,vwap_slippage,timed_out,tick_to_trade_us,fees_paid
41,naive,1,SELL,9714,9714,1,10052.5,10023.7,279915,28.8156,0,4542.1,4.14384
41,naive,2,SELL,8367,8367,1,9947.5,9897.19,420915,82.152,0,440.9,3.56923
41,naive,3,BUY,3347,2431,0.726322,9976,9987.46,27851,64.4566,1,1020.8,1.13934
41,naive,4,BUY,7171,7171,1,10424.5,10446.7,158958,22.1667,0,450.2,3.05903
41,naive,5,SELL,8010,8010,1,10523,10503.3,157666,25.1544,0,426.6,3.41694
42,naive,0,BUY,1877,1877,1,9743,9745.68,5029,2.67928,0,444.2,0.800698
42,naive,1,BUY,8456,8456,1,9381,9396.34,129674,-37.9759,0,457.1,3.60719
42,naive,2,BUY,9526,9526,1,9421.5,9465.22,416432,23.8127,0,462.7,4.06364
42,naive,3,SELL,3186,0,0,8938.5,0,0,8939,1,285.4,0
42,naive,4,BUY,6947,6947,1,8820,8863.52,302347,43.522,0,571.1,6.50257
42,naive,5,BUY,7012,7012,1,8490.5,8489.08,-9988,-1.42442,0,1361.5,2.99121
43,naive,0,SELL,9597,7687,0.800979,9574.5,9542.33,247307,95.3251,1,2759.8,4.43692
43,naive,1,SELL,9796,9796,1,9489.5,9477.63,116238,11.4946,0,444.7,4.17882
43,naive,2,SELL,1052,1052,1,9257.5,9246,12098,20.1963,0,420.3,0.997899
43,naive,3,BUY,7560,7560,1,8563,8575.44,94074,-36.1834,0,429.9,3.22497
43,naive,4,BUY,4527,4527,1,8648.5,8708.76,272809,6.82242,0,423.3,1.93115
43,naive,5,SELL,6983,0,0,8655.5,0,0,8694.64,1,1231.7,0
44,naive,0,BUY,4122,4122,1,9443,9491.25,198866,47.7358,0,533.3,3.43501
44,naive,1,SELL,1584,1584,1,9156.5,9155,2376,-34.9412,0,445.3,0.675709
44,naive,2,SELL,1794,0,0,8846,0,0,8849.65,1,1229.9,0
44,naive,3,BUY,7432,7432,1,8779,8849.21,521813,70.2117,0,173.3,7.0498
44,naive,4,BUY,6414,1780,0.277518,8644.5,8660.31,28137,15.8073,1,588.5,0.855887
44,naive,5,BUY,1625,1625,1,8705.5,8710.41,7983.5,4.91292,0,420.3,0.693199
45,naive,0,SELL,5583,5583,1,10030,10021.2,49181,-46.4154,0,421.1,2.38162
45,naive,1,BUY,1326,1326,1,9847.5,9846.69,-1080,-5.31448,0,104.2,1.25781
45,naive,2,SELL,9142,9142,1,9868,9781.7,788909,64.2379,0,427.2,3.89983
45,naive,3,SELL,2907,2907,1,10149.5,10158.4,-25770.5,-43.3986,0,415.1,1.24008
45,naive,4,BUY,6579,6579,1,10111.5,10126.4,97994.5,30.1359,0,424.6,2.8065
45,naive,5,SELL,2718,2718,1,10184,10154.5,80108,93.7479,0,559.8,1.47943
46,naive,0,BUY,1864,1550,0.831545,9921.5,9957,55021,92.9974,1,515.6,0.833984
46,naive,1,BUY,4877,4877,1,10400,10417.9,87264,42.7533,0,655.5,2.08045
46,naive,2,SELL,9521,9521,1,10632.5,10610.6,208646,22.9666,0,424.1,4.06151
46,naive,3,BUY,7566,7566,1,10486,10493.1,53991,-33.2337,0,428.9,3.22753
46,naive,4,SELL,944,944,1,10870,10868,1846,1.95551,0,107.7,0.895453
46,naive,5,SELL,8297,8297,1,10507,10474.1,273263,32.9352,0,123.6,7.87031
47,naive,0,SELL,9231,9231,1,9632.5,9578.58,497709,55.2588,0,306.2,8.75628
47,naive,1,SELL,5236,5236,1,9394.5,9375.31,100494,-0.204496,0,541.1,4.65041
47,naive,2,BUY,9973,9973,1,9647.5,9698.53,508904,34.9451,0,454.9,4.25432
47,naive,3,SELL,512,512,1,9642,9646,-2048,16.2956,0,413.6,0.218411
47,naive,4,BUY,8217,4652,0.566143,9668.5,9738.28,324628,19.4532,1,347.1,4.41276
47,naive,5,BUY,3563,3563,1,9953,9984.13,110930,42.7072,0,425.9,1.51992
48,naive,0,SELL,5685,5685,1,9954.5,9928.04,150425,20.1415,0,614.4,3.66016
48,naive,1,SELL,2333,2333,1,9737.5,9709.88,64436.5,50.2725,0,415.5,0.99522
48,naive,2,SELL,7501,7501,1,9297,9283.87,98476,13.1284,0,422.4,3.19981
48,naive,3,SELL,3373,3373,1,9420.5,9361.74,198213,58.7645,0,310.3,3.19954
48,naive,4,BUY,5368,5368,1,9197.5,9188.25,-49678,21.8358,0,425.2,2.2899
48,naive,5,BUY,6142,6142,1,9333.5,9391.43,355820,100.026,0,584.1,3.64213
49,naive,0,SELL,8528,8528,1,10323,10281.7,352555,34.4474,0,539.3,4.22515
49,naive,1,BUY,4152,4152,1,9871.5,9894.33,94793,22.8307,0,112.1,3.93848
49,naive,2,BUY,6611,6611,1,10044.5,10074.3,197203,24.7209,0,543.1,6.19168
49,naive,3,BUY,9690,9690,1,10155.5,10223.3,656601,67.7607,0,533.8,4.3283
49,naive,4,BUY,1783,1783,1,10321.5,10324.9,6044.5,3.39007,0,104.5,1.69131
49,naive,5,SELL,9682,9243,0.954658,10251,10217.1,313396,33.9063,1,645.6,6.20992
50,naive,0,SELL,1769,1769,1,9946,9929.88,28521,16.1227,0,422.6,0.754627
50,naive,1,SELL,4754,4754,1,10010.5,9992.21,86936,24.6073,0,106.3,4.50952
50,naive,2,BUY,6948,6948,1,9820.5,9836.3,109809,55.6429,0,122.8,6.59069
50,naive,3,SELL,9878,8778,0.888641,9377.5,9344.03,293783,63.9241,1,560.7,5.15967
