trial,arm,order_id,side,intended_size,filled_size,fill_rate,decision_price,avg_fill_price,implementation_shortfall,vwap_slippage,timed_out,tick_to_trade_us,fees_paid
24,sor,3,BUY,6067,6067,1,9649,9666.41,105598,21.5299,0,513.3,3.357
24,sor,4,BUY,539,539,1,9814,9733,-43659,-62,0,172.3,0.0539
24,sor,5,BUY,1973,1973,1,9789,9727.04,-122238,-1.36578,0,187,0.1989
25,sor,0,SELL,6347,6347,1,9894,9908.1,-89490,10.4488,0,669.5,1.4195
25,sor,1,SELL,1122,1122,1,9987,10028.1,-46095,-34.9494,0,176.8,0.1122
25,sor,2,BUY,2952,2952,1,10055.5,10031.6,-70579,-3.0388,0,202.9,0.684
25,sor,3,SELL,6737,6737,1,9912.5,9906.22,42287.5,6.2769,0,4251.4,0.7697
25,sor,4,BUY,3400,3400,1,9897,9923.72,90843,-4.28147,0,3557.2,1.2024
25,sor,5,SELL,1183,1183,1,9955,9978.1,-27332,4.39337,0,7868,0.3759
26,sor,0,BUY,8487,8487,1,9992.5,9993.93,12097.5,2.12822,0,654.7,3.9096
26,sor,1,BUY,3909,3909,1,9993,9994,3909,5,0,7232.3,2.2626
26,sor,2,BUY,4206,4206,1,9993,9994,4206,8.81592,0,19762.1,2.4219
26,sor,3,BUY,5883,5883,1,9993,9991.56,-8489,-0.442971,0,1038.8,2.9106
26,sor,4,SELL,1284,1284,1,9993,9992,1284,1,0,406.5,1.1556
26,sor,5,BUY,8319,8319,1,9993,9990.52,-20650,-2.48227,0,2039.6,4.0014
27,sor,0,BUY,6224,6224,1,10009,10016.8,48781,7.83756,0,4259.9,1.8536
27,sor,1,SELL,1641,1641,1,10125,10121,6597,4.02011,0,133.3,1.4769
27,sor,2,BUY,9641,9641,1,10104.5,10114.5,96765.5,10.0369,0,1237.4,1.0649
27,sor,3,BUY,8801,8801,1,10155.5,10170.4,130934,11.7258,0,4203.4,2.3786
27,sor,4,SELL,5336,5336,1,10129.5,10092.7,196133,6.28347,0,485,1.8377
27,sor,5,SELL,8260,8260,1,10092.5,10084.8,63834,7.06992,0,625,1.9681
28,sor,0,SELL,1636,1636,1,9963.5,9948.09,25214,15.412,0,480.6,0.1636
